H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
32,,Ari,773,02 39 52.3,C22 02 25,b,5.45,C0.17,,C0.18,,A7 V,,,
,,Hyi,806,02 39 52.8,68 11 17,,4.12,0.06,,0.07,,B9 V,,,
82,ı,Cet,779,02 40 26.0,C00 24 27,vb,4.08,0.21,,0.22,,B2 IV,,,
,,Hor,802,02 41 14.2,54 28 17,b,5.21,C0.41,,C0.48,,F4 IV,,,
,,Eri,794,02 41 23.8,39 46 37,,4.11,C1.01,,C1.05,,K0.5 IIIb Fe,,0.5,
86,,Cet,804,02 44 15.7,C03 18 46,dm,3.47,C0.09,,C0.10,,A2 Va,,,
35,,Ari,801,02 44 32.5,C27 47 05,b,4.65,0.12,,0.12,,B3 V,,,
89,,Cet,811,02 45 00.2,13 46 52,b,4.24,0.12,,0.11,,B7 V,,,
14,,Per,800,02 45 18.0,C44 22 28,,5.43,C0.90,,C0.93,,G0 Ib Ca 1,,,
13,,Per,799,02 45 28.4,C49 18 20,d,4.10,C0.51,,C0.59,,F7 V,,,
87,,Cet,813,02 45 56.7,C10 11 29,db,4.27,C0.31,,C0.37,,F0m F2 VC,,,
1  1,,Eri,818,02 45 58.0,18 29 42,b,4.47,C0.48,,C0.54,,F5 V,,,
,ˇ,For,841,02 49 51.9,32 19 44,d,4.45,C0.98,,C1.00,,G8.5 III Fe,,0.5,
41,,Ari,838,02 51 04.7,C27 20 08,db,3.61,0.10,,0.08,,B8 Vn,,,

"BRIGHT STARS,",,,,,,,J2018.5,,,,,,H5,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,,
,,,,h m s,ı 0 00,,,,,,,,,,
16,,Per,840,02 51 45.5,C38 23 37,d,4.22,C0.34,,C0.41,,F1 VC,,,
2,2,Eri,850,02 51 52.7,20 55 43,d,4.76,C0.91,,C0.91,,K0 III,,,
15,,Per,834,02 52 03.6,C55 58 15,db,3.77,C1.69,,C1.64,,K3 Ib,IIa,,
43,,Ari,847,02 52 31.1,C15 09 26,,5.52,0.10,,0.08,,B7 V,,,
,R,Hor,868,02 54 29.7,49 48 53,v,7.22,C1.04,,C1.01,,gM6.5e:,,,
1," ̨",UMi,424,02 55 00.0,C89 20 31,vdbn58,1.97,C0.64,,C0.70,,F5 8 Ib,,,
18,,Per,854,02 55 34.9,C52 50 13,cdb,3.93,C0.76,,C0.80,,G5 III C A4 V,,,
3,,Eri,874,02 57 19.9,08 49 32,,3.89,C1.09,,C1.08,,K1 IIIb,,,
,,,875,02 57 33.2,03 38 20,b,5.16,C0.08,,C0.10,,A3 Vn,,,
," 1",Eri,897,02 58 57.8,40 13 53,dbmn07,2.88,C0.13,,C0.17,,A5 IV,,,
24,,Per,882,03 00 12.8,C35 15 22,,4.94,C1.24,,C1.19,,K2 III,,,
91,,Cet,896,03 00 42.6,C08 58 48,,4.71,0.11,,0.09,,B6 III,,,
