"BRIGHT STARS,",Ascension,Declination
2456,06 41 59.8,C09 52 38
2478,06 45 01.9,C13 12 28
2473,06 45 04.2,C25 06 40
2513,06 45 51.7,52 13 17
2491,06 45 57.4,16 44 35
2484,06 46 19.6,C12 52 27
2518,06 47 59.4,37 57 04
2483,06 48 04.2,C43 33 26
2550,06 48 22.8,61 57 42
2506,06 48 49.5,C02 23 26
2487,06 49 04.0,C48 46 05
2401,06 49 21.5,C79 32 25
2554,06 50 15.4,53 38 41
2553,06 50 23.7,50 38 14
2538,06 50 32.0,32 31 51
2602,06 51 14.0,70 59 10
2534,06 51 35.8,08 03 50
2540,06 54 00.4,C33 56 14
2580,06 54 54.0,24 12 30
2591,06 55 01.7,42 23 23
2574,06 55 03.0,12 03 47
2511,06 55 41.3,C68 51 50
2596,06 56 57.8,17 04 46
2560,06 58 52.4,C58 23 47
2618,06 59 21.2,28 59 54
2646,07 02 27.4,27 57 45
2527,07 02 44.3,C76 57 00
2630,07 03 32.4,C24 11 15
2653,07 03 47.8,23 51 41
2657,07 04 35.7,15 39 43
2666,07 04 38.0,42 21 56
2683,07 04 39.0,56 46 42
2650,07 05 12.3,C20 32 30
2736,07 08 35.1,70 31 44
2693,07 09 08.6,26 25 25
2701,07 11 08.8,04 16 02
2697,07 12 18.9,C30 12 48
2714,07 12 48.5,00 31 29
2696,07 12 55.5,C39 17 19
2740,07 13 05.3,46 47 27
2706,07 13 33.8,C24 05 46
2748,07 14 06.2,44 40 14
2717,07 14 26.0,C16 07 34
2745,07 15 00.5,26 23 08
2749,07 15 33.7,26 48 21
2803,07 16 49.0,67 59 28
2773,07 17 47.8,37 07 54
2763,07 19 09.3,C16 30 20
2782,07 19 28.5,24 59 21
2777,07 21 13.6,C21 56 48
2827,07 24 49.6,29 20 25
2805,07 25 25.1,C40 38 06
2821,07 26 52.4,C27 45 35
2845,07 28 09.2,C08 15 02
2854,07 29 10.2,C08 53 12
2878,07 29 49.1,43 20 23
2852,07 30 18.0,C31 44 47
2864,07 30 49.5,C11 58 01
2906,07 34 50.7,22 20 13
2891,07 35 46.4,C31 50 44
2890,07 35 46.7,C31 50 47
2934,07 36 07.2,52 34 33
